2018_04_17 | Starting Process Schduler.
2018_04_17 | Timer Scheduler Start Running.
2018_04_17 | Starting Process Schduler.
2018_04_17 | Timer Scheduler Start Running.
2018_04_17 | Starting Process Schduler.
2018_04_17 | Timer Scheduler Start Running.
2018_04_17 | Starting Process Schduler.
2018_04_17 | Timer Scheduler Start Running.
2018_04_17 | Starting Process Schduler.
2018_04_17 | Timer Scheduler Start Running.
2018_04_17 | List of file dump : [01860748020,fahad 1, 01927608261,fahad 2, 01928318408,fahad 3]
2018_04_17 | Mail Looping Queue Starting : 0
2018_04_17 | Mail Looping Queue Starting : 1
2018_04_17 | Mail Sending Starting 01860748020,fahad 1
2018_04_17 | Mail Sending Starting 01927608261,fahad 2
2018_04_17 | Mail Looping Queue Starting : 2
2018_04_17 | Mail Sending Complete 01927608261,fahad 2
2018_04_17 | Mail Sending Complete 01860748020,fahad 1
2018_04_17 | Mail Sending Starting 01928318408,fahad 3
2018_04_17 | Mail Sending Complete 01928318408,fahad 3
2018_04_17 | Timer Scheduler Complete Running.
2018_04_17 | Timer Scheduler Start Running.
2018_04_17 | List of file dump : [01860748020,fahad 1, 01927608261,fahad 2, 01928318408,fahad 3]
2018_04_17 | Mail Looping Queue Starting : 0
2018_04_17 | Mail Looping Queue Starting : 1
2018_04_17 | Mail Sending Starting 01860748020,fahad 1
2018_04_17 | Mail Sending Starting 01927608261,fahad 2
2018_04_17 | Mail Looping Queue Starting : 2
2018_04_17 | Mail Sending Complete 01927608261,fahad 2
2018_04_17 | Mail Sending Complete 01860748020,fahad 1
2018_04_17 | Mail Sending Starting 01928318408,fahad 3
2018_04_17 | Mail Sending Complete 01928318408,fahad 3
2018_04_17 | Timer Scheduler Complete Running.
2018_04_17 | Timer Scheduler Start Running.
2018_04_17 | List of file dump : [01860748020,fahad 1, 01927608261,fahad 2, 01928318408,fahad 3]
2018_04_17 | Mail Looping Queue Starting : 0
2018_04_17 | Mail Looping Queue Starting : 1
2018_04_17 | Mail Sending Starting 01860748020,fahad 1
2018_04_17 | Mail Sending Starting 01927608261,fahad 2
2018_04_17 | Mail Looping Queue Starting : 2
